Checking_Acct_Bal,Loan_Duration,Credit_History,Loan_Amount,Savings_Acct_Bal,Years_Employed,Install_Rate,Years_of Residency,Applicant_Age,Job_Type,DEFAULT
0,6,4,1169,4,4,4,4,67,2,0
1,48,2,5951,0,2,2,2,22,2,1
3,12,4,2096,0,3,2,3,49,1,0
0,42,2,7882,0,3,2,4,45,2,0
0,24,3,4870,0,2,3,4,53,2,1
3,36,2,9055,4,2,2,4,35,1,0
3,24,2,2835,2,4,3,4,53,2,0
1,36,2,6948,0,2,2,2,35,3,0
3,12,2,3059,3,3,2,4,61,1,0
1,30,4,5234,0,0,4,2,28,3,1
1,12,2,1295,0,1,3,1,25,2,1
0,48,2,4308,0,1,3,4,24,2,1
1,12,2,1567,0,2,1,1,22,2,0
0,24,4,1199,0,4,4,4,60,1,1
0,15,2,1403,0,2,2,4,28,2,0
0,24,2,1282,1,2,4,2,32,1,1
3,24,4,2424,4,4,4,4,53,2,0
0,30,0,8072,4,1,2,3,25,2,0
1,24,2,12579,0,4,4,2,44,3,1
3,24,2,3430,2,4,3,2,31,2,0
3,9,4,2134,0,2,4,4,48,2,0
0,6,2,2647,2,2,2,3,44,2,0
0,10,4,2241,0,1,1,3,48,1,0
1,12,4,1804,1,1,3,4,44,2,0
3,10,4,2069,4,2,2,1,26,2,0
0,6,2,1374,0,2,1,2,36,1,0
3,6,0,426,0,4,4,4,39,1,0
2,12,1,409,3,2,3,3,42,2,0
1,7,2,2415,0,2,3,2,34,2,0
0,60,3,6836,0,4,3,4,63,2,1
1,18,2,1913,3,1,3,3,36,2,0
0,24,2,4020,0,2,2,2,27,2,0
1,18,2,5866,1,2,2,2,30,2,0
3,12,4,1264,4,4,4,4,57,1,0
2,12,2,1474,0,1,4,1,33,3,0
1,45,4,4746,0,1,4,2,25,1,1
3,48,4,6110,0,2,1,3,31,2,0
2,18,2,2100,0,2,4,2,37,2,1
2,10,2,1225,0,2,2,2,37,2,0
1,9,2,458,0,2,4,3,24,2,0
3,30,2,2333,2,4,4,2,30,3,0
1,12,2,1158,2,2,3,1,26,2,0
1,18,3,6204,0,2,2,4,44,1,0
0,30,4,6187,1,3,1,4,24,2,0
0,48,4,6143,0,4,4,4,58,1,1
3,11,4,1393,0,1,4,4,35,3,0
3,36,2,2299,2,4,4,4,39,2,0
0,6,2,1352,2,0,1,2,23,0,0
3,11,4,7228,0,2,1,4,39,1,0
3,12,2,2073,1,2,4,2,28,2,0
1,24,3,2333,4,1,4,2,29,1,0
1,27,3,5965,0,4,1,2,30,3,0
3,12,2,1262,0,2,3,2,25,2,0
3,18,2,3378,4,2,2,1,31,2,0
1,36,3,2225,0,4,4,4,57,2,1
3,6,1,783,4,2,1,2,26,1,0
1,12,2,6468,4,0,2,1,52,3,1
3,36,4,9566,0,2,2,2,31,2,0
2,18,2,1961,0,4,3,2,23,3,0
0,36,4,6229,0,1,4,4,23,1,1
1,9,2,1391,0,2,2,1,27,2,0
1,15,4,1537,4,4,4,4,50,2,0
1,36,0,1953,0,4,4,4,61,3,1
1,48,0,14421,0,2,2,2,25,2,1
3,24,2,3181,0,1,4,4,26,2,0
3,27,2,5190,4,4,4,4,48,2,0
3,12,2,2171,0,1,2,2,29,2,0
1,12,2,1007,3,2,4,1,22,2,0
3,36,2,1819,0,2,4,4,37,2,1
3,36,2,2394,4,2,4,4,25,2,0
3,36,2,8133,0,2,1,2,30,2,0
3,7,4,730,4,4,4,2,46,1,0
0,8,4,1164,0,4,3,4,51,3,0
1,42,4,5954,0,3,2,1,41,1,0
0,36,2,1977,4,4,4,4,40,3,1
0,12,4,1526,0,4,4,4,66,3,0
0,42,2,3965,0,1,4,3,34,2,1
1,11,3,4771,0,3,2,4,51,2,0
3,54,0,9436,4,2,2,2,39,1,0
1,30,2,3832,0,1,2,1,22,2,0
3,24,2,5943,4,1,1,1,44,2,1
3,15,2,1213,2,4,4,3,47,2,0
3,18,2,1568,1,2,3,4,24,1,0
0,24,2,1755,0,4,4,4,58,1,0
0,10,2,2315,0,4,3,4,52,1,0
3,12,4,1412,0,2,4,2,29,3,0
1,18,4,1295,0,1,4,1,27,2,0
1,36,2,12612,1,2,1,4,47,2,1
0,18,2,2249,1,3,4,3,30,3,0
0,12,0,1108,0,3,4,3,28,2,1
3,12,4,618,0,4,4,4,56,2,0
0,12,4,1409,0,4,4,3,54,2,0
3,12,4,797,4,4,4,3,33,1,1
2,24,4,3617,4,4,4,4,20,2,0
1,12,2,1318,3,4,4,4,54,2,0
1,54,0,15945,0,1,3,4,58,2,1
3,12,4,2012,4,3,4,2,61,2,0
1,18,2,2622,1,2,4,4,34,2,0
1,36,4,2337,0,4,4,4,36,2,0
1,20,3,7057,4,3,3,4,36,3,0
3,24,2,1469,1,4,4,4,41,1,0
1,36,2,2323,0,3,4,4,24,2,0
3,6,3,932,0,2,3,2,24,2,0
1,9,4,1919,0,3,4,3,35,2,0
3,12,2,2445,4,1,2,4,26,2,0
1,24,4,11938,0,2,2,3,39,3,1
3,18,1,6458,0,4,2,4,39,3,1
1,12,2,6078,0,3,2,2,32,2,0
0,24,2,7721,4,1,1,2,30,2,0
1,14,2,1410,2,4,1,2,35,2,0
1,6,3,1449,1,4,1,2,31,2,0
2,15,2,392,0,1,4,4,23,2,0
1,18,2,6260,0,3,3,3,28,1,0
3,36,4,7855,0,2,4,2,25,2,1
0,12,2,1680,2,4,3,1,35,2,0
3,48,4,3578,4,4,4,1,47,2,0
0,42,2,7174,4,3,4,3,30,3,1
0,10,4,2132,4,1,2,3,27,2,0
0,33,4,4281,2,2,1,4,23,2,1
1,12,4,2366,2,3,3,3,36,3,0
0,21,2,1835,0,2,3,2,25,2,1
3,24,4,3868,0,4,4,2,41,3,0
3,12,2,1768,0,2,3,2,24,1,0
2,10,4,781,0,4,4,4,63,2,0
1,18,2,1924,4,1,4,3,27,2,1
0,12,4,2121,0,2,4,2,30,2,0
0,12,2,701,0,2,4,2,40,1,0
1,12,2,639,0,2,4,2,30,2,1
1,12,4,1860,0,0,4,2,34,3,0
0,12,4,3499,0,2,3,2,29,2,1
1,48,2,8487,4,3,1,2,24,2,0
0,36,3,6887,0,2,4,3,29,2,1
3,15,2,2708,0,1,2,3,27,1,0
3,18,2,1984,0,2,4,4,47,2,0
3,60,2,10144,1,3,2,4,21,2,0
3,12,4,1240,4,4,4,2,38,2,0
3,27,3,8613,3,2,2,2,27,2,0
1,12,2,766,2,2,4,3,66,1,1
1,15,4,2728,4,3,4,2,35,2,0
2,12,2,1881,0,2,2,2,44,1,0
2,6,2,709,3,1,2,2,27,0,0
1,36,2,4795,0,1,4,1,30,3,0
0,27,2,3416,0,2,3,2,27,3,0
0,18,2,2462,0,2,2,2,22,2,1
3,21,4,2288,0,1,4,4,23,2,0
1,48,1,3566,1,3,4,2,30,2,0
0,6,4,860,0,4,1,4,39,2,0
3,12,4,682,1,3,4,3,51,2,0
0,36,4,5371,0,2,3,2,28,2,0
3,18,4,1582,3,4,4,4,46,2,0
3,6,2,1346,1,4,2,4,42,2,0
3,10,2,1924,0,2,1,4,38,2,0
2,36,2,5848,0,2,4,1,24,2,0
1,24,4,7758,3,4,2,4,29,2,0
1,24,3,6967,1,3,4,4,36,3,0
0,12,2,1282,0,2,2,4,20,2,1
0,9,4,1288,1,4,3,4,48,2,0
0,12,1,339,0,4,4,1,45,1,0
1,24,2,3512,1,3,2,3,38,2,0
3,6,4,1898,4,2,1,2,34,1,0
3,24,4,2872,1,4,3,4,36,2,0
3,18,4,1055,0,1,4,1,30,2,0
3,15,2,1262,2,3,4,3,36,2,0
1,10,2,7308,0,0,2,4,70,3,0
3,36,2,909,2,4,4,4,36,2,0
3,6,2,2978,2,2,1,2,32,2,0
0,18,2,1131,0,0,4,2,33,2,1
1,11,2,1577,3,1,4,1,20,2,0
3,24,2,3972,0,3,2,4,25,2,0
1,24,4,1935,0,4,4,4,31,2,1
0,15,0,950,0,4,4,3,33,2,1
3,12,2,763,0,2,4,1,26,2,0
1,24,3,2064,0,0,3,2,34,3,1
1,8,2,1414,0,2,4,2,33,2,0
0,21,3,3414,0,1,2,1,26,2,1
3,30,1,7485,4,0,4,1,53,3,1
0,12,2,2577,0,2,2,1,42,2,0
0,6,4,338,2,4,4,4,52,2,0
3,12,2,1963,0,3,4,2,31,3,0
0,21,4,571,0,4,4,4,65,2,0
3,36,3,9572,0,1,1,1,28,2,1
1,36,3,4455,0,2,2,2,30,3,1
0,21,1,1647,4,2,4,2,40,1,1
3,24,4,3777,3,2,4,4,50,2,0
1,18,4,884,0,4,4,4,36,2,1
3,15,4,1360,0,2,4,2,31,2,0
1,9,1,5129,0,4,2,4,74,3,1
1,16,4,1175,0,0,2,3,68,0,0
0,12,2,674,1,3,4,1,20,2,1
1,18,0,3244,0,2,1,4,33,2,0
3,24,2,4591,3,2,2,3,54,3,1
1,48,0,3844,1,3,4,4,34,1,1
1,27,2,3915,0,2,4,2,36,2,1
3,6,2,2108,0,3,2,2,29,2,0
1,45,2,3031,1,2,4,4,21,2,1
1,9,4,1501,0,4,2,3,34,3,1
3,6,4,1382,0,2,1,1,28,2,0
1,12,2,951,1,1,4,4,27,2,1
1,24,2,2760,4,4,4,4,36,2,0
1,18,3,4297,0,4,4,3,40,3,1
3,9,4,936,2,4,4,2,52,2,0
0,12,2,1168,0,2,4,3,27,1,0
3,27,3,5117,0,3,3,4,26,2,0
0,12,2,902,0,3,4,4,21,2,1
3,12,4,1495,0,4,4,1,38,1,0
0,30,4,10623,0,4,3,4,38,3,0
3,12,4,1935,0,4,4,4,43,2,0
1,12,4,1424,0,3,4,3,26,2,0
0,24,2,6568,0,2,2,2,21,1,0
3,12,2,1413,3,3,3,2,55,2,0
3,9,4,3074,4,2,1,2,33,2,0
3,36,2,3835,4,4,2,4,45,1,0
0,27,0,5293,0,0,2,4,50,2,1
2,30,3,1908,0,4,4,4,66,3,1
3,36,4,3342,4,4,4,2,51,2,0
1,6,4,932,4,3,1,3,39,1,0
0,18,0,3104,0,3,3,1,31,2,0
2,36,2,3913,0,2,2,2,23,2,0
0,24,2,3021,0,2,2,2,24,1,0
3,10,2,1364,0,2,2,4,64,2,0
1,12,2,625,0,1,4,1,26,1,0
0,12,2,1200,4,2,4,4,23,2,0
3,12,2,707,0,2,4,2,30,2,0
3,24,3,2978,4,2,4,4,32,2,0
3,15,2,4657,0,2,3,2,30,2,0
3,36,0,2613,0,2,4,2,27,2,0
1,48,2,10961,3,3,1,2,27,2,1
0,12,2,7865,0,4,4,4,53,3,1
3,9,2,1478,0,3,4,2,22,2,1
0,24,2,3149,0,1,4,1,22,2,0
2,36,2,4210,0,2,4,2,26,2,1
3,9,2,2507,2,4,2,4,51,1,0
3,12,2,2141,1,3,3,1,35,2,0
1,18,2,866,0,2,4,2,25,1,0
3,4,4,1544,0,3,2,1,42,1,0
0,24,2,1823,0,0,4,2,30,3,1
1,6,2,14555,4,0,1,2,23,0,1
1,21,2,2767,1,4,4,2,61,1,1
3,12,4,1291,0,2,4,2,35,2,0
0,30,2,2522,0,4,1,3,39,2,0
0,24,2,915,4,4,4,2,29,2,1
3,6,2,1595,0,3,3,2,51,2,0
0,48,0,4605,0,4,3,4,24,2,1
3,12,4,1185,0,2,3,2,27,2,0
3,12,1,3447,2,2,4,3,35,1,0
3,24,2,1258,0,3,4,1,25,2,0
3,12,4,717,0,4,4,4,52,2,0
3,6,0,1204,1,2,4,1,35,2,0
2,24,2,1925,0,2,2,2,26,2,0
3,18,2,433,0,0,3,4,22,2,1
0,6,4,666,3,3,3,4,39,1,0
2,12,2,2251,0,2,1,2,46,1,0
1,30,2,2150,0,2,4,2,24,2,1
3,24,3,4151,1,2,2,3,35,2,0
1,9,2,2030,4,3,2,1,24,2,0
1,60,3,7418,4,2,1,1,27,1,0
3,24,4,2684,0,2,4,2,35,1,0
0,12,1,2149,0,2,4,1,29,2,1
3,15,2,3812,1,1,1,4,23,2,0
3,11,4,1154,1,0,4,4,57,1,0
0,12,2,1657,0,2,2,2,27,2,0
0,24,2,1603,0,4,4,4,55,2,0
0,18,4,5302,0,4,2,4,36,3,0
3,12,4,2748,0,4,2,4,57,1,0
3,10,4,1231,0,4,3,4,32,1,0
1,15,2,802,0,4,4,3,37,2,1
3,36,4,6304,4,4,4,4,36,2,0
3,24,2,1533,0,1,4,3,38,2,0
0,14,2,8978,0,4,1,4,45,3,1
3,24,2,999,4,4,4,2,25,2,0
3,18,2,2662,4,3,4,3,32,2,0
3,12,4,1402,2,3,3,4,37,2,0
1,48,1,12169,4,0,4,4,36,3,0
1,48,2,3060,0,3,4,4,28,2,1
0,30,2,11998,0,1,1,1,34,1,1
3,9,2,2697,0,2,1,2,32,2,0
3,18,4,2404,0,2,2,2,26,2,0
0,12,2,1262,4,4,2,4,49,1,0
3,6,2,4611,0,1,1,4,32,2,1
3,24,2,1901,1,2,4,4,29,3,0
3,15,4,3368,3,4,3,4,23,2,0
3,12,2,1574,0,2,4,2,50,2,0
2,18,1,1445,4,3,4,4,49,1,0
3,15,4,1520,4,4,4,4,63,2,0
1,24,4,3878,1,1,4,2,37,2,0
0,47,2,10722,0,1,1,1,35,1,0
0,48,2,4788,0,3,4,3,26,2,0
1,48,3,7582,1,0,2,4,31,3,0
1,12,2,1092,0,2,4,4,49,2,0
0,24,3,1024,0,1,4,4,48,2,1
3,12,2,1076,0,2,2,2,26,2,0
1,36,2,9398,0,1,1,4,28,3,1
0,24,4,6419,0,4,2,4,44,3,0
2,42,4,4796,0,4,4,4,56,2,0
3,48,4,7629,4,4,4,2,46,3,0
1,48,2,9960,0,1,1,2,26,2,1
3,12,2,4675,4,1,1,4,20,2,0
3,10,2,1287,4,4,4,2,45,1,0
3,18,2,2515,0,2,3,4,43,2,0
1,21,4,2745,3,3,3,2,32,2,0
3,6,2,672,0,0,1,4,54,0,0
1,36,0,3804,0,2,4,1,42,2,1
2,24,4,1344,4,3,4,2,37,1,1
0,10,4,1038,0,3,4,3,49,2,0
3,48,4,10127,2,2,2,2,44,2,1
3,6,2,1543,3,2,4,2,33,2,0
3,30,2,4811,4,3,2,4,24,1,0
0,12,2,727,1,1,4,3,33,1,1
1,8,2,1237,0,2,3,4,24,2,1
1,9,2,276,0,2,4,4,22,1,0
1,48,2,5381,4,0,3,4,40,0,0
3,24,2,5511,1,2,4,1,25,2,0
2,24,2,3749,0,1,2,4,26,2,0
1,12,2,685,0,3,2,3,25,1,1
2,4,2,1494,4,1,1,2,29,1,0
0,36,1,2746,0,4,4,4,31,2,1
0,12,2,708,0,2,2,3,38,1,0
1,24,2,4351,4,2,1,4,48,1,0
3,12,4,701,0,2,4,2,32,2,0
0,15,3,3643,0,4,1,4,27,1,0
1,30,4,4249,0,0,4,2,28,3,1
0,24,2,1938,0,1,4,3,32,2,1
0,24,2,2910,0,3,2,1,34,3,0
0,18,2,2659,3,2,4,2,28,2,0
3,18,4,1028,0,2,4,3,36,2,0
0,8,4,3398,0,3,1,4,39,1,0
3,12,4,5801,4,4,2,4,49,2,0
3,24,2,1525,3,3,4,3,34,2,0
2,36,2,4473,0,4,4,2,31,2,0
1,6,2,1068,0,4,4,4,28,2,0
0,24,4,6615,0,0,2,4,75,3,0
3,18,4,1864,1,2,4,2,30,2,1
1,60,2,7408,1,1,4,2,24,3,1
3,48,4,11590,1,2,2,4,24,1,1
0,24,0,4110,0,4,3,4,23,2,1
0,6,4,3384,0,2,1,4,44,3,1
1,13,2,2101,0,1,2,4,23,1,0
0,15,2,1275,4,2,4,2,24,2,1
0,24,2,4169,0,2,4,4,28,2,0
1,10,2,1521,0,2,4,2,31,1,0
1,24,4,5743,0,1,2,4,24,2,0
0,21,2,3599,0,3,1,4,26,1,0
1,18,2,3213,2,1,1,3,25,2,0
1,18,2,4439,0,4,1,1,33,3,0
2,10,2,3949,0,1,1,1,37,1,0
3,15,4,1459,0,2,4,2,43,1,0
1,13,4,882,0,1,4,4,23,2,0
1,24,2,3758,2,0,1,4,23,0,0
3,6,3,1743,1,2,1,2,34,1,0
1,9,4,1136,3,4,4,3,32,2,1
3,9,2,1236,0,1,1,4,23,2,0
1,9,2,959,0,2,1,2,29,2,1
3,18,4,3229,4,0,2,4,38,3,0
0,12,0,6199,0,2,4,2,28,2,1
3,10,2,727,2,4,4,4,46,2,0
1,24,2,1246,0,1,4,2,23,1,1
3,12,4,2331,4,4,1,4,49,2,0
3,36,3,4463,0,2,4,2,26,3,1
3,12,2,776,0,2,4,2,28,2,0
0,30,2,2406,0,3,4,4,23,2,1
1,18,2,1239,4,2,4,4,61,2,0
2,12,2,3399,4,4,2,3,37,3,0
2,12,3,2247,0,2,2,2,36,2,0
3,6,2,1766,0,2,1,2,21,2,0
0,18,2,2473,0,0,4,1,25,0,1
3,12,2,1542,0,3,2,4,36,2,0
3,18,4,3850,0,3,3,1,27,2,0
0,18,2,3650,0,1,1,4,22,2,0
0,36,2,3446,0,4,4,2,42,2,1
1,18,2,3001,0,3,2,4,40,2,0
3,36,2,3079,4,2,4,4,36,2,0
3,18,4,6070,0,4,3,4,33,2,0
3,10,4,2146,0,1,1,3,23,2,0
3,60,4,13756,4,4,2,4,63,3,0
1,60,1,14782,1,4,3,4,60,3,1
0,48,1,7685,0,3,2,4,37,2,1
3,18,3,2320,0,0,2,3,34,2,0
3,7,3,846,4,4,3,4,36,2,0
1,36,2,14318,0,4,4,2,57,3,1
3,6,4,362,1,2,4,4,52,1,0
0,20,2,2212,4,3,4,4,39,2,0
1,18,2,12976,0,0,3,4,38,3,1
3,22,2,1283,4,3,4,4,25,2,0
2,12,2,1330,0,1,4,1,26,2,0
3,30,3,4272,1,2,2,2,26,1,0
3,18,4,2238,0,2,2,1,25,2,0
3,18,2,1126,4,1,4,2,21,2,0
1,18,4,7374,0,0,4,4,40,3,0
1,15,4,2326,2,2,2,4,27,2,0
3,9,2,1449,0,3,3,2,27,2,0
3,18,2,1820,0,2,2,2,30,3,0
1,12,2,983,3,1,1,4,19,1,0
0,36,2,3249,0,3,2,4,39,3,0
0,6,4,1957,0,3,1,4,31,2,0
3,9,4,2406,0,0,2,3,31,3,0
1,39,3,11760,1,3,2,3,32,2,0
0,12,2,2578,0,0,3,4,55,3,0
0,36,4,2348,0,2,3,2,46,2,0
1,12,2,1223,0,4,1,1,46,2,1
3,24,4,1516,3,2,4,1,43,1,0
3,18,2,1473,0,1,3,4,39,2,0
1,18,4,1887,4,2,4,4,28,2,0
3,24,3,8648,0,1,2,2,27,2,1
3,14,3,802,0,2,4,2,27,1,0
1,18,3,2899,4,4,4,4,43,2,0
1,24,2,2039,0,1,1,1,22,2,1
3,24,4,2197,4,3,4,4,43,2,0
0,15,2,1053,0,1,4,2,27,2,0
3,24,2,3235,2,4,3,2,26,3,0
2,12,4,939,2,3,4,2,28,2,1
1,24,2,1967,0,4,4,4,20,2,0
3,33,4,7253,0,3,3,2,35,3,0
3,12,4,2292,0,0,4,2,42,3,1
3,10,2,1597,2,2,3,2,40,1,0
0,24,2,1381,4,2,4,2,35,2,1
3,36,4,5842,0,4,2,2,35,2,0
0,12,2,2579,0,1,4,1,33,1,1
0,18,3,8471,4,2,1,2,23,2,0
3,21,2,2782,2,3,1,2,31,3,0
1,18,2,1042,4,2,4,2,33,2,1
3,15,2,3186,3,3,2,3,20,2,0
1,12,2,2028,4,2,4,2,30,2,0
1,12,4,958,0,3,2,3,47,1,0
3,21,3,1591,1,3,4,3,34,3,0
1,12,2,2762,4,4,1,2,25,2,1
1,18,2,2779,0,2,1,3,21,2,0
3,28,4,2743,0,4,4,2,29,2,0
3,18,4,1149,3,2,4,3,46,2,0
3,9,2,1313,0,4,1,4,20,2,0
0,18,4,1190,0,0,2,4,55,0,1
3,5,2,3448,0,3,1,4,74,1,0
1,24,2,11328,0,2,2,3,29,3,1
0,6,4,1872,0,0,4,4,36,3,0
3,24,4,2058,0,2,4,2,33,2,0
0,9,2,2136,0,2,3,2,25,2,0
1,12,2,1484,4,2,2,1,25,2,1
3,6,2,660,2,3,2,4,23,1,0
3,24,4,1287,3,4,4,4,37,2,0
0,42,4,3394,0,0,4,4,65,0,0
2,12,1,609,0,1,4,1,26,0,1
3,12,2,1884,0,4,4,4,39,3,0
0,12,2,1620,0,2,2,3,30,2,0
1,20,3,2629,0,2,2,3,29,2,0
3,12,2,719,0,4,4,4,41,1,1
1,48,4,5096,0,2,2,3,30,3,1
3,9,4,1244,4,4,4,4,41,1,0
0,36,2,1842,0,1,4,4,34,2,1
1,7,2,2576,0,2,2,2,35,2,0
2,12,2,1424,4,4,3,4,55,3,0
1,15,3,1512,3,2,3,3,61,2,1
3,36,4,11054,4,2,4,2,30,3,0
3,6,2,518,0,2,3,1,29,2,0
3,12,0,2759,0,4,2,4,34,2,0
3,24,2,2670,0,4,4,4,35,3,0
0,24,2,4817,0,3,2,3,31,2,1
3,24,2,2679,0,1,4,1,29,3,0
0,11,4,3905,0,2,2,2,36,2,0
0,12,2,3386,0,4,3,4,35,2,1
0,6,2,343,0,1,4,1,27,2,0
3,18,2,4594,0,1,3,2,32,2,0
0,36,2,3620,0,2,1,2,37,2,0
0,15,2,1721,0,1,2,3,36,2,0
1,12,2,3017,0,1,3,1,34,3,0
1,12,2,754,4,4,4,4,38,2,0
3,18,2,1950,0,3,4,1,34,2,0
0,24,2,2924,0,2,3,4,63,2,0
0,24,3,1659,0,1,4,2,29,1,1
3,48,3,7238,4,4,3,3,32,2,0
3,33,3,2764,0,2,2,2,26,2,0
3,24,3,4679,0,3,3,3,35,1,0
1,24,2,3092,1,1,3,2,22,2,1
0,6,2,448,0,1,4,4,23,2,1
0,9,2,654,0,2,4,3,28,1,1
3,6,2,1238,4,0,4,4,36,3,0
1,18,4,1245,0,2,4,2,33,2,1
0,18,0,3114,0,1,1,4,26,2,1
3,39,2,2569,2,2,4,4,24,2,0
2,24,2,5152,0,3,4,2,25,2,0
1,12,2,1037,1,3,3,4,39,1,0
0,15,4,1478,0,4,4,4,44,2,0
1,12,4,3573,0,2,1,1,23,1,0
1,24,2,1201,0,1,4,1,26,2,0
0,30,2,3622,3,4,4,4,57,2,0
3,15,3,960,3,3,3,2,30,2,0
3,12,4,1163,2,2,4,4,44,2,0
1,6,3,1209,0,0,4,4,47,3,1
3,12,2,3077,0,2,2,4,52,2,0
3,24,2,3757,0,4,4,4,62,2,0
3,10,2,1418,1,2,3,2,35,1,0
3,6,2,3518,0,2,2,3,26,2,0
3,12,4,1934,0,4,2,2,26,2,0
1,27,0,8318,0,4,2,4,42,3,1
3,6,4,1237,1,2,1,1,27,2,0
1,6,2,368,4,4,4,4,38,2,0
0,12,4,2122,0,2,3,2,39,1,0
0,24,2,2996,4,2,2,4,20,2,1
1,36,2,9034,1,1,4,1,29,3,1
